WaypointType,Year,Basin,Sub-basin,Stream,Section,Index Reach,Lat (dec deg),Long (dec deg),comments
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.035215,-115.135955,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.035236,-115.136191,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.035476,-115.135458,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.036677,-115.133468,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.036787,-115.133623,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.036884,-115.133488,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.036884,-115.133488,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.037185,-115.132608,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.037185,-115.132608,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.037255,-115.132474,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.037255,-115.132474,
Redd,2019,St Joe River,Medicine Creek,Medicine Creek,Mouth to RM 2.4,Y,47.05210296,-115.128379,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.038259,-115.131162,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.038259,-115.131162,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.041872,-115.130891,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.042026,-115.130965,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.042026,-115.130965,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.042641,-115.130858,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.042804,-115.131175,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.042808,-115.130915,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.04281,-115.130931,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.042866,-115.131107,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.042924,-115.131022,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.042937,-115.131065,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.042937,-115.131065,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.044201,-115.131337,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.044383,-115.131436,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.044383,-115.131436,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.044388,-115.131212,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.045647,-115.130588,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.045685,-115.130732,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.045745,-115.130642,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.045901,-115.130724,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.045901,-115.130724,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.04599,-115.130668,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.046295,-115.130618,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.046314,-115.130631,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.046404,-115.130667,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.046834,-115.131087,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.047685,-115.131965,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.047685,-115.131965,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.047778,-115.131796,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.047819,-115.13183,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.048356,-115.132293,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.048487,-115.13247,
Redd,2008,St Joe River,Medicine Creek,Medicine Creek,,Y,47.049089,-115.132482,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.049165,-115.132435,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.04956,-115.131996,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.050356,-115.131931,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.050436,-115.13177,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.051208,-115.130368,
Redd,2012,St Joe River,Medicine Creek,Medicine Creek,,Y,47.051462,-115.129892,
SectionEnds,2019,St Joe River,Mosquito Creek,Mosquito Creek,Mouth to falls,N,47.15637996,-115.41321,
SectionEnds,2019,St Joe River,Mosquito Creek,Mosquito Creek,Mouth to falls,N,47.14207,-115.43064,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.005449,-115.23365,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.006652,-115.232415,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.006985,-115.232011,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.007166,-115.231739,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.007192,-115.231317,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.007783,-115.230045,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.009194,-115.228659,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.009747,-115.228378,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.010024,-115.228066,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.010103,-115.22797,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.010683,-115.227054,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.011239,-115.226264,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.013001,-115.222901,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.013188,-115.222244,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.013659,-115.220758,
Redd,2012,St Joe River,NF Bean Creek,NF Bean Creek,,N,47.013677,-115.220193,
SectionEnds,2019,St Joe River,Quartz Creek,Quartz Creek,RM 1.5 to Entente Creek,N,47.21915999,-115.50364,
SectionEnds,2019,St Joe River,Quartz Creek,Entente Creek ,Mouth to Barrier,N,47.23065997,-115.49423,
SectionEnds,2019,St Joe River,Quartz Creek,Quartz Creek,RM 1.5 to Entente Creek,N,47.23065997,-115.49423,
SectionEnds,2019,St Joe River,Quartz Creek,Entente Creek ,Mouth to Barrier,N,47.23196704,-115.497482,
Redd,2019,St Joe River,Quartz Creek,Quartz Creek,RM 1.5 to Entente Creek,N,47.22877404,-115.495255,
SectionEnds,2019,St Joe River,Red Ives Creek,Red Ives Creek,Mouth to RM 1.9,N,47.05584,-115.351913,
SectionEnds,2019,St Joe River,Red Ives Creek,Red Ives Creek,Mouth to RM 1.9,N,47.07106,-115.29105,
Redd,2019,St Joe River,Red Ives Creek,Red Ives Creek,Mouth to RM 1.9,N,47.05847,-115.33771,
Redd,2019,St Joe River,Red Ives Creek,Red Ives Creek,Mouth to RM 1.9,N,47.05847,-115.33771,
Redd,2019,St Joe River,Red Ives Creek,Red Ives Creek,Mouth to RM 1.9,N,47.06313,-115.32515,
Redd,2019,St Joe River,Red Ives Creek,Red Ives Creek,Mouth to RM 1.9,N,47.06313,-115.32515,
